crewId,taskId,isDDH
Crew_10002,Grd_2124_10000,0
Crew_10002,Grd_2124_10001,0
Crew_10003,Flt_15787,0
Crew_10003,Flt_15783,0
Crew_10003,Flt_15731,0
Crew_10003,Flt_16523,0
Crew_10003,Flt_16685,0
Crew_10003,Flt_17388,0
Crew_10003,Flt_17908,0
Crew_10003,Flt_17928,0
Crew_10003,Flt_18068,0
Crew_10004,Grd_3114_10000,0
Crew_10004,Flt_19898,0
Crew_10004,Flt_19894,0
Crew_10004,Flt_19764,0
Crew_10005,Flt_15712,0
Crew_10005,Flt_15709,0
Crew_10005,Flt_15706,0
Crew_10005,Flt_15702,0
Crew_10005,Flt_16505,0
Crew_10005,Flt_16495,0
Crew_10005,Flt_16454,0
Crew_10005,Flt_17298,0
Crew_10005,Flt_17350,0
Crew_10005,Flt_18227,0
Crew_10005,Flt_18221,0
Crew_10006,Flt_15914,0
Crew_10006,Flt_15920,0
Crew_10006,Flt_16639,0
Crew_10006,Flt_16644,0
Crew_10006,Flt_17348,0
Crew_10006,Flt_16961,0
Crew_10006,Flt_17870,0
Crew_10006,Flt_17823,0
Crew_10006,Flt_17821,0
Crew_10006,Flt_19370,0
Crew_10006,Flt_19366,0
Crew_10006,Flt_19875,0
Crew_10006,Flt_19918,0
Crew_10007,Flt_15752,0
Crew_10007,Flt_15747,0
Crew_10007,Flt_15584,0
Crew_10007,Flt_16407,0
Crew_10007,Flt_16405,0
Crew_10007,Flt_17149,0
Crew_10007,Flt_17054,0
Crew_10007,Flt_17050,0
Crew_10007,Flt_17852,0
Crew_10007,Flt_17849,0
Crew_10007,Flt_17695,0
Crew_10010,Flt_15851,0
Crew_10010,Flt_15660,0
Crew_10010,Flt_16798,0
Crew_10010,Flt_16794,0
Crew_10010,Flt_16965,0
Crew_10010,Flt_17414,0
Crew_10010,Flt_18090,0
Crew_10012,Flt_15801,0
Crew_10012,Flt_15786,0
Crew_10012,Flt_15784,0
Crew_10012,Flt_17220,0
Crew_10012,Flt_17219,0
Crew_10012,Flt_17595,0
Crew_10012,Flt_17613,0
Crew_10012,Flt_17943,0
Crew_10013,Grd_2499_10000,0
Crew_10014,Flt_15555,0
Crew_10014,Flt_15551,0
Crew_10014,Flt_15526,0
Crew_10014,Flt_16512,0
Crew_10014,Flt_16702,0
Crew_10014,Flt_17404,0
Crew_10014,Flt_17882,0
Crew_10014,Flt_17878,0
Crew_10014,Flt_17960,0
Crew_10015,Flt_15563,0
Crew_10015,Flt_15559,0
Crew_10015,Flt_16280,0
Crew_10015,Flt_16277,0
Crew_10015,Flt_16999,0
Crew_10015,Flt_16995,0
Crew_10015,Flt_17675,0
Crew_10015,Flt_17671,0
Crew_10015,Flt_19282,0
Crew_10015,Flt_20344,0
Crew_10015,Flt_20301,0
Crew_10016,Grd_2048_10000,0
Crew_10017,Flt_15663,0
Crew_10017,Flt_15661,0
Crew_10017,Flt_15613,0
Crew_10017,Flt_15609,0
Crew_10017,Flt_16392,0
Crew_10017,Flt_16387,0
Crew_10017,Flt_16340,0
Crew_10017,Flt_16334,0
Crew_10017,Flt_17104,0
Crew_10017,Flt_17102,0
Crew_10017,Flt_17055,0
Crew_10017,Flt_17051,0
Crew_10017,Flt_17787,0
Crew_10017,Flt_17783,0
Crew_10017,Flt_17737,0
Crew_10017,Flt_17734,0
Crew_10017,Flt_19208,0
Crew_10017,Flt_19205,0
Crew_10017,Flt_20203,0
Crew_10017,Flt_20369,0
Crew_10018,Flt_15627,0
Crew_10018,Flt_15436,0
Crew_10018,Flt_15435,0
Crew_10018,Flt_16413,0
Crew_10018,Flt_16411,0
Crew_10018,Flt_17426,0
Crew_10018,Flt_17424,0
Crew_10018,Flt_17423,0
Crew_10018,Flt_17812,0
Crew_10018,Flt_17810,0
Crew_10019,Flt_15675,0
Crew_10019,Flt_15700,0
Crew_10019,Flt_16403,0
Crew_10019,Flt_16401,0
Crew_10019,Flt_16397,0
Crew_10019,Flt_16394,0
Crew_10019,Flt_17806,0
Crew_10019,Flt_17804,0
Crew_10020,Flt_15570,0
Crew_10020,Flt_15564,0
Crew_10020,Flt_15517,0
Crew_10020,Flt_16475,0
Crew_10020,Flt_16432,0
Crew_10020,Flt_16427,0
Crew_10020,Flt_17225,0
Crew_10020,Flt_17221,0
Crew_10020,Flt_17181,0
Crew_10020,Flt_17555,0
Crew_10020,Flt_17980,0
Crew_10023,Flt_15674,0
Crew_10023,Flt_15672,0
Crew_10023,Flt_15666,0
Crew_10023,Flt_15664,0
Crew_10023,Flt_16418,0
Crew_10023,Flt_16412,0
Crew_10023,Flt_16453,0
Crew_10023,Flt_17035,0
Crew_10023,Flt_17047,0
Crew_10023,Flt_17043,0
Crew_10023,Flt_17905,0
Crew_10023,Flt_17901,0
Crew_10023,Flt_17847,0
Crew_10024,Grd_2152_10000,0
Crew_10024,Flt_16354,0
Crew_10024,Flt_16179,0
Crew_10024,Flt_16178,0
Crew_10024,Flt_17141,0
Crew_10024,Flt_17140,0
Crew_10024,Flt_17796,0
Crew_10024,Flt_17795,0
Crew_10024,Flt_17792,0
Crew_10024,Flt_17789,0
Crew_10025,Flt_15497,0
Crew_10025,Flt_15523,0
Crew_10025,Flt_15514,0
Crew_10025,Flt_16249,0
Crew_10025,Flt_16240,0
Crew_10025,Flt_16229,0
Crew_10025,Flt_17254,0
Crew_10025,Flt_17250,0
Crew_10025,Flt_16956,0
Crew_10025,Flt_17643,0
Crew_10025,Flt_17634,0
Crew_10025,Flt_17621,0
Crew_10025,Flt_19427,0
Crew_10025,Flt_19863,0
Crew_10025,Flt_19857,0
Crew_10026,Flt_16005,0
Crew_10026,Flt_16003,0
